tweet
"“If you want my ghost, just say we’ve always done it that way.” - Grace Hopper"
"“In your darkest hour, in the blackest night… think of me… and I will be with you. Always. For where else could I go? Who else could I love but you?” - Myste, Final Fantasy XIV"
https://www.youtube.com/watch?v=lS1k88LzjkQ
"""Stay strong. Keep the faith. At duty's end, we will meet again. We will. We will."" - G’raha Tia, Final Fantasy XIV"
https://www.youtube.com/watch?v=H47ow4_Cmk0
"“The most important thing is that we are alike on the inside, not on the outside. Isn't that right, Cecil?” - Rydia, Final Fantasy IV"
https://open.spotify.com/track/07yof2umfry1yGrAZUlyHU?si=537ba90e3c9b42fb
"“We live not to forget our past, but to learn from it!” - Freya, Final Fantasy IX"
https://www.youtube.com/watch?v=X8hvNlIeY8A
"“Now! This is it! Now is the time to choose! Die and be free of pain or live and fight your sorrow! Now is the time to shape your stories! Your fate is in your hands!” - Auron, Final Fantasy X"
https://open.spotify.com/track/3fh3F3FSb9PBnVSurLpoGa?si=aa49552da3b3472b
https://twitter.com/Jebailey/status/1467215712963936267?s=20
https://www.youtube.com/watch?v=3ymwOvzhwHs
https://www.youtube.com/watch?v=pxc_igMzxXY&list=FLubl_Q01SMBULN1taRnvF3Q&index=25
https://www.youtube.com/watch?v=XEOCbFJjRw0
"“Courage is not the absence of fear, it is the triumph over it.” - G’raha Tia, Final Fantasy XIV"
"“Sometimes life is like this tunnel. You can’t always see the light at the end of the tunnel, but if you keep moving, you will come to a better place.” - Iroh, Avatar the Last Airbender"
"“Don't you get it? I love you. I always have. So please, just this once. Stay! ...Stay.” - Catra to Adora, She-Ra and the Princesses of Power"
https://open.spotify.com/track/1bg4MF45JFU0Dx1MjLJ5vn?si=c34fbf8d9d51459e
https://www.youtube.com/watch?v=vk6dTkAmpfI
https://www.youtube.com/watch?v=v9QD25nakt8
https://www.youtube.com/watch?v=4ukVbacUlxY
